"collabor, collabi, collapsus vb dep",to fall into ruin-1: to collapse-1,
"collaudo, collaudare, collaudavi, collaudatum vb tr",to praise-2,
"collectio, -onis n (f)",collection-1,
"collega, -ae (m/f)",colleague-1,
"collegium, -ii n (n)",college-1,
"colligo, colligere, collegi, collectum vb tr",to bring together-2: to collect-2,
"collimitaneus, -a, -um adj",coterminous-1,
"collis, -is n (m)",hill-1,
"colloco, collocare, collocavi, collocatum vb tr",to place-1,
"colloquium, -ii n (n)",conversation-1,
"colloquor, colloqui, collocutus (conloquor) vb dep",to converse-1,
"collum, -i n (n)",neck-2:,
collum dare idiom,to bend one’s neck (in servitude)-1,
"colo, colere, colui, cultum vb tr",to worship-7: to maintain-1,
"color, -oris n (m)",colour-2,
"columba, -ae n (f)","dove, pigeon-2",
"coma, -ae n (f)",foliage-1: hair-1,
"comburo, combuere, combussi, combustum vb tr",to burn-1,
"combustio, -onis n (f)",burning-1,
